Name,Formula,Category,G. cal mol-1,SD. cal mol-1,S. cal mol-1 °K-1,SD. cal mol-1 °K-1,V. cm3 mol-1,SD. cm3 mol-1,a. cal mol-1 °K-1,SD. cal mol-1 °K-1,b·1000. cal mol-1 °K-1,SD·1000. cal mol-1 °K-1,c·10-5. cal mol-1 °K-1,SD·10-5. cal mol-1 °K-1,,,,,,,,,,Tmax. °K,EactH+,lgKH+,nH+,nFe+++,pH+,qH+,EactH2O,lgKH2O,nO2,pH2O,qH2O,EactOH-,lgKOH-,mOH-,pOH-,qOH-,EactPCO2,logKPCO2,nPCO2,pPCO2,qPCO2,Reaction,References to constants,References to uncertainties,References to kinetics,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STILBITE,Ca(2)Na(1)Al(5)Si(13)O(52)H(32),min,-4946475,153,387.8,4.52,664.7,333,468.74,,143.8,,-94.24,,,,,,,,,,,500,8890,-10.16,457,,1,2,8890,-12.56,,1,2,8890,-7592,572,1,2,,,,,,2Ca+2,+,Na+,+,5Al+3,+,13SiO2.aq,+,6H2O.aq,+,20OH-,Fridriksson,et,al..,2001,Fridriksson,et,al..,2001,Eact.,p.,q,from,Barnes,et,al..,2000.,K,the,same,as,for,albite,,,,,,,,,,,,,,,,,,,,,,,,,,
SYLVITE,K(1)Cl(1),min,-97735,23.9,19.73,0.0239,37524,2,9.89,,5.2,,0.77,,,,,,,,,,,1043,,,,,,,,,,,,,,,,,,,,,,K+,+,Cl-,Helgeson,et,al..,1978,Robie,and,Hemingway.,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALC,Mg(3)Si(4)O(12)H(2),min,-1320188,251,62.34,0.0717,136.25,0.1,82482,,41614,,-13342,,,,,,,,,,,800,,,,,,,10038,-12,,1,1,,,,,,,,,,,3Mg+2,+,4SiO2.aq,+,4OH-,-,2H+,Helgeson,et,al..,1978,Robie,and,Hemingway.,1995,Palandri,and,Kharaka.,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TITANITE,Ca(1)Ti(1)Si(1)O(5),min,-587349,382,30.88,0.0956,55.65,35,42.23422,,5.703951,,-9.525038,,,,,,,,,,,1800,9058,-8.35,421,,1,1,9058,-11.16,,1,1,,,,,,,,,,,Ca+2,+,Ti(OH)3+,+,SiO2.aq,-,3H+,Robie,et,al..,1979;,Bowers,and,Helgeson.,1983;,Shock,and,Helgeson.,1988,Robie,and,Hemingway.,1995,from,Ilmenite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TREMOLITE,Ca(2)Mg(5)Si(8)O(24)H(2),min,-2770245,519,131.19,155,272.92,365,188222,,57294,,-44822,,,,,,,,,,,800,4517,-8.4,0.7,,1,1,22562,-10.6,,1,1,,,,,,,,,,,2Ca+2,+,5Mg+2,+,8SiO2.aq,+,8OH-,-,6H+,Helgeson,et,al..,1978;,Shock,and,Helgeson.,1988,SD(G):,Holland,and,Powell.,2011;,SD(S).,SD(V):,Robie,and,Hemingway.,1995,Palandri,and,Kharaka.,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,
VERMICULITE,Ca(0.445)Mg(2.475)Fe(0.254)Si(2.778)Al(1.438)O(12)H(2),min,-1354247,1372,77.86,0.0382,148.36,,78.73,0.0279,74.9,,-16.25,,,,,,,,,,,520,,,,,,,,,,,,,,,,,,,,,,,Gailhanou,et,al..,2013,Gailhanou,et,al..,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHITLOCKITE,Ca(3)P(2)O(8),min,-928203,598,56405,0.0956,97.62,45,45.19,,41.63,,-2.81,,,,,,,,,,,1373,,,,,,,,,,,,,,,,,,,,,,,Robie,and,Hemingway.,1995,Robie,and,Hemingway.,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOISITE,Ca(2)Al(3)Si(3)O(13)H(1),min,-1549179,394,70.74,0.0717,135.9,0.2,106118,,25214,,-27145,,,,,,,,,,,700,15798,-7.5,0.5,,1,1,15798,-11.2,,1,1,,,,,,,,,,,2Ca+2,+,3Al+3,+,3SiO2.aq,+,7OH-,-,6H+,Helgeson,et,al..,1978;,Shock,and,Helgeson.,1988,Robie,and,Hemingway.,1995,Palandri,and,Kharaka.,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Formula,Category,G.,cal,mol-1,SD.,cal,mol-1,S.,cal,mol-1,�K-1,SD.,cal,mol-1,�K-1,a�1e-8,(llnl_gamma).,cm,,a1�10.,cal,mol-1,bar-1,SD�10.,cal,mol-1,bar-1,a2�0.01.,cal,mol-1,SD�0.01.,cal,mol-1,a3.,cal,�K,mol-1,bar-1,SD.,cal,�K,mol-1,bar-1,a4�10-4.,cal,�K,mol-1,SD�10-4.,cal,�K,mol-1,c1.,cal,mol-1,�K-1,SD.,cal,mol-1,�K-1,c2�10-4.,cal,�K,mol-1,SD�10-4.,cal,�K,mol-1,w�10-5.,cal,mol-1,SD�10-5.,cal,mol-1,Charge,,,,,,,,,,,,,,,,,,,,,,,,References,to,constants,References,to,uncertainties
H2O.aq,H(2)O(1)+(0),aq,,11.95,,0.01195,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robie,and,Hemingway.,1995,,All,solution,species,diameters,(a�1e-8,(llnl_gamma).,cm),are,taken,from,llnl.dat,Phreeqc:,http://www.phreeplot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag+,Ag(1)+(1),aq,18427,,17.54,,2.5,,1.7285,,-3.5608,,7.1496,,-2.6318,,12.7862,,-1.4254,,216,,1,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag+2,Ag(1)+(2),aq,64300,,-21,,4.5,,-0.4299,,-8831,,9221,,-2.4139,,15.2224,,-4.1142,,1.3201,,2,,,,,,,,,,,,,,,,,,,,,,,,Shock,and,Helgeson.,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgCl.aq,Ag(1)Cl(1)+(0),aq,-17450,,34.1,,3,,5.2088,,4.9399,,3.8015,,-2.9832,,9.8168,,-1.6698,,-0.03,,0,,,,,,,,,,,,,,,,,,,,,,,,Sverjensky,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgCl2-,Ag(1)Cl(2)-(1),aq,-51560,,47,,4,,9.5149,,15.4544,,-0.3312,,-3.4178,,19185,,-1.4457,,0.9169,,-1,,,,,,,,,,,,,,,,,,,,,,,,Sverjensky,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgCl3-2,Ag(1)Cl(3)-(2),aq,-82710,,44.5,,4,,14504,,27.6363,,-5.1192,,-3.9214,,35.8339,,-857,,2.5402,,-2,,,,,,,,,,,,,,,,,,,,,,,,Sverjensky,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgCl4-3,Ag(1)Cl(4)-(3),aq,-112280,,35,,4,,20.0386,,41.1504,,-10.4309,,-4.4801,,55.0238,,243,,4.2796,,-3,,,,,,,,,,,,,,,,,,,,,,,,Sverjensky,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgCO3-,Ag(1)C(1)O(3)-(1),aq,-111430,,0,,4,,2.2588,,-2.2632,,6.6326,,-2.6854,,15.2147,,-5.1123,,1631,,-1,,,,,,,,,,,,,,,,,,,,,,,,Sverjensky,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag(CO3)2-3,Ag(1)C(2)O(6)-(3),aq,-236890,,-19,,4,,3.7128,,1.2872,,5.2371,,-2.8322,,36.5589,,-8.7993,,5.0992,,-3,,,,,,,,,,,,,,,,,,,,,,,,Sverjensky,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgF.aq,Ag(1)F(1)+(0),aq,-49459,,16.74,,3,,2.5788,,-1.4818,,6.3255,,-2.7177,,12.1829,,-0.8218,,-38,,0,,,,,,,,,,,,,,,,,,,,,,,,Sverjensky,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag(HS)2-,Ag(1)H(2)S(2)-(1),aq,0,,44.68,,,,10.3654,,17.5311,,-1.1475,,-3.5037,,37.2753,,4.7273,,0.9527,,-1,,,,,,,,,,,,,,,,,,,,,,,,Sverjensky,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgOH.aq,Ag(1)O(1)H(1)+(0),aq,-21900,,17.2,,,,2.2885,,-2.1912,,6.6063,,-2.6883,,-0.3221,,-5.1937,,-0.03,,0,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgO-,Ag(1)O(1)-(1),aq,-5500,,13.9,,,,1464,,-4.1994,,7.3839,,-2.6053,,0.8786,,-9.4103,,1.4171,,-1,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgNO3.aq,Ag(1)N(1)O(3)+(0),aq,-7738,,49,,3,,6766,,8.7423,,2.3069,,-3.1404,,24.1485,,3.3372,,-38,,0,,,,,,,,,,,,,,,,,,,,,,,,Sverjensky,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al+3,Al(1)+(3),aq,-115609,167.5,-77.7,1195,9,,-3.3802,,-17.0071,,14.5185,,-2.0758,,10.7,,-8.06,,2753,,3,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,Robie,and,Hemingway.,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlO+,Al(1)O(1)+(1),aq,-158188,167.9,-27,1195,,,2.1705,,-2.4811,,6.7241,,-2.6763,,-2.5983,,-9.1455,,957,,1,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,SD(logK)=0;,SD(Al+3).,SD(H2O.aq):,Robie,and,Hemingway.,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlO2-,Al(1)O(2)-(1),aq,-198693,169.2,-7.22,1196,4,,3.7221,,3.9954,,-1.5879,,-2.9441,,15.2391,,-5.4585,,1.7418,,-1,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,SD(logK)=0;,SD(Al+3).,SD(H2O.aq):,Robie,and,Hemingway.,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlOH+2,Al(1)O(1)H(1)+(2),aq,-165475,167.9,-44.2,1195,4.5,,2.0469,,-2.7813,,6.8376,,-2.6639,,29.7923,,-0.3457,,1.7247,,2,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,SD(logK)=0;,SD(Al+3).,SD(H2O.aq):,Robie,and,Hemingway.,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAlO2.aq,H(1)Al(1)O(2)+(0),aq,-207700,169,5,1.2,3,,3.5338,,0.8485,,5.4132,,-2814,,-23.4129,,-13.2195,,-0.03,,0,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,SD(logK)=0;,SD(Al+3).,SD(H2O.aq):,Robie,and,Hemingway.,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AsO4-3,As(1)O(4)-(3),aq,-154970,,-38.9,,4,,1.0308,,-5.2609,,7.8091,,-2.5614,,-12.1352,,-26.6841,,5399,,-3,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AsO2-,As(1)O(2)-(1),aq,-83650,,9.7,,4,,3.2101,,0.0554,,5.7305,,-2.7812,,3.4104,,-8.7381,,1482,,-1,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3AsO4.aq,H(3)As(1)O(4),aq,-183100,,44,,3,,7.9357,,11.5925,,1199,,-3.2581,,18.2805,,2.2209,,-0.3263,,0,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2AsO3-,H(2)As(1)O(3)-(1),aq,-140330,,26.4,,4,,5.7934,,6.3646,,3.2485,,-3.0421,,15.8032,,-3.6253,,1.2305,,-1,,,,,,,,,,,,,,,,,,,,,,,,Shock,and,Helgeson.,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2AsO4-,H(2)As(1)O(4)-(1),aq,-180010,,28,,4,,6.7429,,8.6835,,2.3351,,-3.1379,,16.9206,,-3.1567,,1.2055,,-1,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAsO4-2,H(1)As(1)O(4)-(2),aq,-170790,,-0.4,,4,,4.3994,,2.9611,,4.5853,,-2.9013,,7.9908,,-12.7102,,3.2197,,-2,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAsO2.aq,H(1)As(1)O(2),aq,-96240,,30.1,,3,,5.5984,,5.8913,,3428,,-3.0224,,6799,,-2.4438,,-0.1158,,0,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B(OH)3.aq,B(1)O(3)H(3)+(0),aq,-231540,,37,,3,,7.0643,,8.8547,,3.5844,,-3.1451,,11.3568,,-0.5902,,-0.2,,0,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BF4-,B(1)F(4)-(1),aq,-355400,,43,,4,,7.9796,,11.7027,,1.1504,,-3.2628,,11.8941,,-4.1753,,0.9779,,-1,,,,,,,,,,,,,,,,,,,,,,,,Shock,and,Helgeson.,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BO2-,B(1)O(2)-(1),aq,-162240,,-8.9,,4,,-2.2428,,-6.2065,,-6.3216,,-2.5224,,-1.6521,,-11.3863,,1.7595,,-1,,,,,,,,,,,,,,,,,,,,,,,,Shock.,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba+2,Ba(1)+(2),aq,-134030,,2.3,,5,,2.7383,,-10.0565,,-47,,-2.3633,,3.8,,-3.45,,985,,2,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BaCO3.aq,Ba(1)C(1)O(3)+(0),aq,-263830,,16,,3,,313,,-7018,,8509,,-2489,,-14578,,-10123,,-38,,0,,,,,,,,,,,,,,,,,,,,,,,,Sverjensky,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BaHCO3+,Ba(1)H(1)C(1)O(3)+(1),aq,-275700,,46.83,,,,7882,,11464,,1244,,-3253,,26273,,4.46,,-158,,1,,,,,,,,,,,,,,,,,,,,,,,,Shock,and,Koretsky.,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BaCl+,Ba(1)Cl(1)+(1),aq,-164730,,24,,4,,3.4534,,0.6537,,5.4861,,-2806,,11.8213,,-1.6759,,0.1895,,1,,,,,,,,,,,,,,,,,,,,,,,,Sverjensky,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BaF+,Ba(1)F(1)+(1),aq,-201120,,5.5,,4,,0.9652,,-5.4218,,7874,,-2.5548,,16.7505,,-0.8529,,0.4675,,1,,,,,,,,,,,,,,,,,,,,,,,,Sverjensky,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BaOH+,Ba(1)O(1)H(1)+(1),aq,-172300,,27.5,,4,,3.07,,-0.2825,,5.8541,,-2.7672,,-5.7064,,-7.5974,,0.1362,,1,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be+2,Be(1)+(2),aq,-90550,,-32.1,,8,,-0.5718,,-9.1742,,9.3462,,-2.3996,,17.0245,,-4216,,1.5475,,2,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BeCl+,Be(1)Cl(1)+(1),aq,-115316,,92.31,,,,1.1974,,-4.8548,,7.6512,,-2.5783,,16.6475,,3.3197,,-0.8467,,1,,,,,,,,,,,,,,,,,,,,,,,,Sverjensky,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BeCl2.aq,Be(1)Cl(2)+(0),aq,-145521,,130.44,,,,5.0297,,4.5026,,3.9733,,-2.9651,,39653,,8.7262,,-38,,0,,,,,,,,,,,,,,,,,,,,,,,,Sverjensky,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BeF+,Be(1)F(1)+(1),aq,-158493,,59.2,,,,-1.2603,,-10856,,10.0098,,-2.3302,,23774,,4.1893,,-0.3447,,1,,,,,,,,,,,,,,,,,,,,,,,,Sverjensky,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BeF2.aq,Be(1)F(2)+(0),aq,-231386,,71.72,,,,-525,,-9.0604,,9.3042,,-2.4044,,45.6271,,10.8026,,-38,,0,,,,,,,,,,,,,,,,,,,,,,,,Sverjensky,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BeF3-1,Be(1)F(3)-(1),aq,-302532,,104.78,,,,0.2052,,-7.2776,,8.6034,,-2.4781,,62.8555,,16.5406,,0.0401,,-1,,,,,,,,,,,,,,,,,,,,,,,,Sverjensky,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BeF4-2,Be(1)F(4)-(2),aq,-370691,,190.12,,,,1.0882,,-5.1214,,7756,,-2.5672,,79.5432,,21.4033,,0.3329,,-2,,,,,,,,,,,,,,,,,,,,,,,,Sverjensky,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BeOH+,Be(1)O(1)H(1)+(1),aq,-139900,,-17.9,,,,2.3302,,-2.0945,,6.5792,,-2.6923,,30.9714,,2.9542,,0.8222,,-2,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BeO.aq,Be(1)O(1)+(0),aq,-128600,,-25.1,,,,1.8917,,-3.1609,,6.9887,,-2.6482,,13.5675,,-366,,-0.03,,0,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HBeO2-,H(1)Be(1)O(2)-(1),aq,-172200,,-33.3,,,,2.9518,,-0.5719,,5.9708,,-2.7553,,56.2537,,7.5374,,2.1351,,-1,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BeO2-2,Be(1)O(2)-(2),aq,-152900,,-41,,4,,3.2657,,0.1906,,5.6788,,-2.7868,,34.0366,,-5.6215,,3833,,-2,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi+3,Bi(1)+(3),aq,22880,,-45,,,,-1.0957,,-10.4536,,9.8506,,-2.3467,,27.5027,,-2.8715,,2.2651,,3,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BiO+,Bi(1)O(1)+(1),aq,-29300,,19.1,,,,2.9487,,-0.5825,,5981,,-2.7548,,-39.8159,,-19.8601,,0.2634,,1,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BiOH+2,Bi(1)O(1)H(1)+(2),aq,-32300,,-19.5,,,,2.4693,,-1.7539,,6.4433,,-2.7064,,9861,,-6.09,,1.3552,,2,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HBiO2.aq,H(1)Bi(1)O(2)+(0),aq,-79300,,54.6,,,,5.2306,,4.9892,,3.7912,,-2.9852,,-81.1398,,-33284,,-0.03,,0,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BiO2-,Bi(1)O(2)-(1),aq,-61700,,45.1,,,,5.2319,,4992,,3.7909,,-2.9853,,-59.7858,,-28.9859,,0.9456,,-1,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Br-,Br(1)-(1),aq,-24870,,19.8,,3,,5269,,6594,,4745,,-3143,,-3.8,,-6811,,1.3858,,-1,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Br3-,Br(3)-(1),aq,-25590,,51.5,,4,,9.0992,,14.4364,,0.0759,,-3.3758,,17.2705,,-1.8939,,849,,-1,,,,,,,,,,,,,,,,,,,,,,,,Shock,and,Helgeson.,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HBrO.aq,H(1)Br(1)O(1)+(0),aq,-19700,,33.8,,3,,5.5795,,5841,,3.4565,,-3.0204,,9.8576,,-1.2012,,-0.1719,,0,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrO-,Br(1)O(1)-(1),aq,-8000,,9.7,,4,,2.3206,,-2.1131,,6.5758,,-2.6915,,3.4104,,-8.7381,,1482,,-1,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrO3-,Br(1)O(3)-(1),aq,4450,,38.65,,3.5,,6.9617,,9.2173,,2.1272,,-3.16,,3.7059,,-7.2308,,1.0433,,-1,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrO4-,Br(1)O(4)-(1),aq,28200,,47.6,,4,,8.7361,,13.5515,,0.42,,-3.3391,,11.4884,,-4.0937,,0.9085,,-1,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH4.aq,C(1)H(4)+(0),aq,-8140,95.6,21,956,3,,17.69,5.46,-15.3,15.89,-67.88,39.43,11.47,11.16,40.87,1.3345,6.45,0.9706,-0.4,2.43,0,,,,,,,,,,,,,,,,,,,,,,,,Plyasunov,and,Shock.,2001,SD(G).,SD(S):,Wagman,et,al..,1982;,SD(a1).,SD(a2).,SD(a3).,SD(a4).,SD(c1).,SD(c2).,SD(w):,Plyasunov,and,Shock.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-,C(1)N(1)-(1),aq,41200,956,22.5,956,3,,5.4714,,5.5813,,3.5497,,-3.0096,,7.6773,,-6.64,,1.29,,-1,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,Wagman,et,al..,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCN.aq,H(1)C(1)N(1)+(0),aq,28600,956,29.8,956,,,8.0083,,11.7705,,1.1286,,-3.2655,,28.9941,,5256,,-0.1113,,0,,,,,,,,,,,,,,,,,,,,,,,,Shock,and,McKinnon.,1993,Wagman,et,al..,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO.aq,C(1)O(1)+(0),aq,-28682,95.6,24.53,956,3,,6.2373,,7.4498,,2.8184,,-3.0869,,40.2523,,10.0022,,-0.3715,,0,,,,,,,,,,,,,,,,,,,,,,,,Shock,and,McKinnon.,1993,Wagman,et,al..,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2.aq,C(1)O(2)+(0),aq,-92250,32.76,28.1,0.0728,3,,15.2964,5.7022,-10.0382,16.1359,-55.4493,40.6431,7.4092,11.5257,36.8069,1.9412,3.5851,2.0625,-0.3131,2.3051,0,,,,,,,,,,,,,,,,,,,,,,,,Plyasunov,and,Shock.,2001,SD(G).,SD(S):,Cox,et,al..,1989;,SD(a1).,SD(a2).,SD(a3).,SD(a4).,SD(c1).,SD(c2).,SD(w):,Plyasunov,and,Shock.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO3-2,C(1)O(3)-(2),aq,-126191,35.85,-11.95,0.12,4.5,,2.8524,,-3.9844,,6.4142,,-2.6143,,-3.3206,,-17.1917,,3.3914,,-2,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,Robie,and,Hemingway.,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
